Character,Frequency
 ,0.13575233506943238
!,0.0002746556478752429
"""",0.000730969911389383
#,0.0005752247036654532
$,0.00023980658205856244
%,0.000527667146610781
&,0.00028991245636668606
',0.03983188651793893
(,0.0012314660389731037
),0.0012318300842950253
*,0.00016451539047931466
+,5.295204682496549e-06
",",0.014626149613757841
-,0.002672688373431602
.,0.01639375512683372
/,0.0001747417545223861
0,0.007072639419264312
1,0.0044995008938636455
2,0.0047720384598658894
3,0.0021044136259119254
4,0.002128473712188019
5,0.0014756080698654602
6,0.0013267797232580415
7,0.0011852984731475869
8,0.003341538914889447
9,0.004481993623382141
:,0.00557770385230774
;,0.0033691070742676945
<,5.526869887355773e-06
=,6.940027636997039e-05
>,8.00899708227603e-06
?,0.00042881229419442364
@,1.4694192993927922e-05
A,0.003097959499494606
B,0.001008935062191186
C,0.001384232694063129
D,0.0012977222875628417
E,0.0012510582962983409
F,0.0008913153281812316
G,0.0011449225374435506
H,0.0008926722243811213
I,0.0027906390577342125
J,0.0007008865297869494
K,0.00021951932911874755
L,0.0014558834324231605
M,0.0010197571367610385
N,0.0011981724395319065
O,0.00150165385789749
P,0.0012392433708505203
Q,5.030444448371721e-05
R,0.0011774549512116388
S,0.001809437630067602
T,0.002094418927073713
U,0.0006623308206925215
V,0.00019764351477418368
W,0.0007607885327576917
X,7.277596935506194e-05
Y,0.0002531438788526006
Z,0.00011993638605854682
[,0.0004898064331309307
\,0.04568778718625333
],0.0004899057182187276
^,6.188770472667841e-06
_,0.0013640116311818453
`,8.925729392933245e-05
a,0.0493678882505299
b,0.02913213117625228
c,0.01580909833982757
d,0.02608298684492444
e,0.07754989423159597
f,0.013846199059055367
g,0.010864965727780543
h,0.03860763519534573
i,0.03939566093718901
j,0.0007659844523523914
k,0.004192180452103252
l,0.024778744836596273
m,0.015383264598267051
n,0.06337946317082549
o,0.0460602717406377
p,0.010694857277355342
q,0.00046958537024964703
r,0.05616104014764619
s,0.03657202613527699
t,0.05551280780942082
u,0.01733189992142578
v,0.0059031272750764184
w,0.010967560318503914
x,0.006528159997786605
y,0.01079430784029848
z,0.0004937447416135376
{,0.0001630592091916281
|,2.362985089564085e-05
},0.00016299301913309688
~,6.288055560464651e-07
