Character,Frequency
 ,0.03707010273561901
!,0.040931016562953886
"""",0.07384039335349847
#,0.019814249736831584
$,0.00460045038442576
%,0.01914133809479393
&,0.0003631057870401215
',0.014857356056871027
(,0.00032313083800818154
),0.0
*,0.0
+,0.0
",",0.0
-,0.18046690740469307
.,0.0
/,0.0
0,3.331245752661665e-06
1,0.0
2,0.0
3,0.0
4,0.0030780710754593787
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0027116340426665956
:,0.00014990605886977494
;,0.019947499566938053
<,0.0
=,6.66249150532333e-06
>,6.66249150532333e-06
?,0.0
@,9.993737257984996e-06
A,6.66249150532333e-06
B,6.66249150532333e-06
C,0.0
D,6.66249150532333e-06
E,0.0
F,0.0
G,6.329366930057164e-05
H,0.0
I,0.0
J,0.0
K,0.0
L,0.002108678561434834
M,0.0
N,0.0012758671232694179
O,0.0005396618119311898
P,0.0005996242354790998
Q,0.0004430556851040015
R,0.00018988100790171493
S,0.00014990605886977494
T,0.0002631684144602716
U,0.004184044665343052
V,0.0035377829893266884
W,0.00012658733860114327
X,2.3318720268631656e-05
Y,0.00033312457526616653
Z,0.00022319346542833157
[,0.0006462616760163631
\,0.000686236625048303
],0.0006196117099950697
^,1.332498301064666e-05
_,0.00012658733860114327
`,0.0007695177688648447
a,0.004850293815875385
b,2.3318720268631656e-05
c,6.66249150532333e-06
d,0.002012072434607646
e,0.0
f,0.001305848335043373
g,0.0
h,0.0
i,0.0
j,0.0
k,0.0
l,0.0
m,0.0
n,0.06155475901768225
o,0.01284195237651072
p,0.015453649046597465
q,0.044272256052873535
r,0.09770543792556664
s,0.013571495196343625
t,0.016846109771210042
u,0.056521246685410476
v,0.05670113395605421
w,0.0007128865910695964
x,0.011875891108238838
y,0.030214398976641306
z,0.01326168934134609
{,0.051124628566098576
|,0.06166802137327275
},0.012948552240595892
~,0.0002631684144602716
