Character,Frequency
 ,0.014946890011595163
!,0.008308141460990558
"""",0.017695564850091106
#,0.014188545635249296
$,0.009850712274308431
%,0.0053912332284247145
&,0.040192251946330956
',0.02404702252774557
(,0.032321517309922145
),0.023992670200430676
*,0.03877132681795594
+,0.005204882391916515
",",0.0007428151399701838
-,0.004314539506377339
.,0.0003131729335762796
/,0.0016693929103859533
0,0.00048399453370879576
1,8.282259400364419e-05
2,0.002523500911048534
3,0.03302292115289051
4,0.004022072221301971
5,0.01905178482690078
6,0.004420655954944509
7,0.0019230371045221137
8,0.0036209002815968195
9,0.0019282135166473415
:,0.0010068121583567998
;,0.001371749213185357
<,0.0011828101706145436
=,0.000892931091601789
>,0.00032352575782673514
?,0.002743498426370714
@,0.0003468196123902601
A,0.003900426536359119
B,0.0009809300977306609
C,0.001309632267682624
D,0.0006677571641543813
E,0.0009809300977306609
F,0.0008799900612887195
G,0.000957636243167136
H,0.006374751532217989
I,0.001824685274142786
J,0.0020835058804041743
K,0.0036856054331621665
L,0.009242483849594169
M,0.0019592719893987078
N,0.002329385456352493
O,0.0052126470101043565
P,0.006449809508033792
Q,0.0007298741096571145
R,0.0017263334437634587
S,0.004498302136822925
T,0.002458795759483187
U,0.005903698028822263
V,0.006157342222958423
W,0.0020705648500911047
X,0.0005538760973993706
Y,0.0046872411793937386
Z,0.005145353652476396
[,0.0071952128540665895
\,0.0033387858207719065
],0.0016900985588868644
^,0.002699498923306278
_,0.0004891709458340236
`,0.0019592719893987078
a,0.0005952873944011926
b,0.0004632888852078847
c,0.00029505549113798246
d,8.282259400364419e-05
e,0.00018893904257081333
f,0.016290168958091766
g,0.011269049196620837
h,0.007883675666721882
i,0.009687655292363756
j,0.013909019380486998
k,0.03357420904422727
l,0.017887092098724532
m,0.018717906244823588
n,0.02542912456518138
o,0.03479584230578102
p,0.013932313235050522
q,0.014356779029319198
r,0.021471757495444756
s,0.018637671856882556
t,0.02665334603279775
u,0.02436019546132185
v,0.02882226271326818
w,0.02187551764121252
x,0.04316610071227431
y,0.03018883551432831
z,0.03391326403842968
{,0.02788274391253934
|,0.03439984677820109
},0.02438090110982276
~,0.0238477306609243
